---------------
WORDS: sport three terms 

and RESULT ITEMS:
SCORE: 8.697831 | ITEM NUMBER 210 | ITEM ID: 777706
SCORE: 8.697831 | ITEM NUMBER 211 | ITEM ID: 1160164
SCORE: 8.697831 | ITEM NUMBER 212 | ITEM ID: 1148450
SCORE: 8.697831 | ITEM NUMBER 213 | ITEM ID: 1127654
SCORE: 8.697831 | ITEM NUMBER 214 | ITEM ID: 1128586
SCORE: 8.697831 | ITEM NUMBER 215 | ITEM ID: 1131165
SCORE: 8.697831 | ITEM NUMBER 216 | ITEM ID: 938647
SCORE: 8.697831 | ITEM NUMBER 217 | ITEM ID: 1407300
SCORE: 8.697831 | ITEM NUMBER 218 | ITEM ID: 1774571
SCORE: 8.697831 | ITEM NUMBER 219 | ITEM ID: 2157946
SCORE: 8.697831 | ITEM NUMBER 220 | ITEM ID: 2696789
SCORE: 8.697831 | ITEM NUMBER 221 | ITEM ID: 3463736
SCORE: 8.697831 | ITEM NUMBER 222 | ITEM ID: 3758575
SCORE: 8.665919 | ITEM NUMBER 223 | ITEM ID: 1439908
SCORE: 8.548594 | ITEM NUMBER 224 | ITEM ID: 1216237
SCORE: 8.541649 | ITEM NUMBER 225 | ITEM ID: 2280440
SCORE: 8.534972 | ITEM NUMBER 226 | ITEM ID: 1357112
SCORE: 8.534972 | ITEM NUMBER 227 | ITEM ID: 1482829
SCORE: 8.534972 | ITEM NUMBER 228 | ITEM ID: 1808909
SCORE: 8.534972 | ITEM NUMBER 229 | ITEM ID: 4710685
SCORE: 8.522577 | ITEM NUMBER 230 | ITEM ID: 705390
SCORE: 8.522577 | ITEM NUMBER 231 | ITEM ID: 1127775
SCORE: 8.522577 | ITEM NUMBER 232 | ITEM ID: 1428693
SCORE: 8.432351 | ITEM NUMBER 233 | ITEM ID: 1968039
SCORE: 8.332452 | ITEM NUMBER 234 | ITEM ID: 686742
SCORE: 8.332452 | ITEM NUMBER 235 | ITEM ID: 933191
SCORE: 8.332452 | ITEM NUMBER 236 | ITEM ID: 2021516
SCORE: 8.322788 | ITEM NUMBER 237 | ITEM ID: 540694
SCORE: 8.322788 | ITEM NUMBER 238 | ITEM ID: 314427
SCORE: 8.322788 | ITEM NUMBER 239 | ITEM ID: 1719543
SCORE: 8.322788 | ITEM NUMBER 240 | ITEM ID: 2176722
SCORE: 8.322788 | ITEM NUMBER 241 | ITEM ID: 3124397
SCORE: 8.322788 | ITEM NUMBER 242 | ITEM ID: 4613609
SCORE: 8.299974 | ITEM NUMBER 243 | ITEM ID: 634481
SCORE: 8.291720 | ITEM NUMBER 244 | ITEM ID: 310758
SCORE: 8.229390 | ITEM NUMBER 245 | ITEM ID: 781200
SCORE: 8.229390 | ITEM NUMBER 246 | ITEM ID: 1728619
SCORE: 8.229390 | ITEM NUMBER 247 | ITEM ID: 2311488
SCORE: 8.229390 | ITEM NUMBER 248 | ITEM ID: 4398805
SCORE: 8.218148 | ITEM NUMBER 249 | ITEM ID: 2319920
SCORE: 8.218148 | ITEM NUMBER 250 | ITEM ID: 2160747
SCORE: 8.207116 | ITEM NUMBER 251 | ITEM ID: 1378553
SCORE: 8.160266 | ITEM NUMBER 252 | ITEM ID: 1570570
SCORE: 8.151219 | ITEM NUMBER 253 | ITEM ID: 652733
SCORE: 8.151219 | ITEM NUMBER 254 | ITEM ID: 1161328
SCORE: 8.151219 | ITEM NUMBER 255 | ITEM ID: 1261968
SCORE: 8.151219 | ITEM NUMBER 256 | ITEM ID: 1213624
SCORE: 8.151219 | ITEM NUMBER 257 | ITEM ID: 348499
